Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
ET,Temperature change,32,Cameroon,7271,Temperature change,7001,January,2020,2020,?C,0.875,Fc,Calculated data
ET,Temperature change,33,Canada,7271,Temperature change,7001,January,2019,2019,?C,1.705,Fc,Calculated data
ET,Temperature change,33,Canada,7271,Temperature change,7001,January,2020,2020,?C,2.675,Fc,Calculated data
ET,Temperature change,36,Cayman Islands,7271,Temperature change,7001,January,2019,2019,?C,0.69,Fc,Calculated data
ET,Temperature change,36,Cayman Islands,7271,Temperature change,7001,January,2020,2020,?C,0.84,Fc,Calculated data
ET,Temperature change,37,Central African Republic,7271,Temperature change,7001,January,2019,2019,?C,1.874,Fc,Calculated data
ET,Temperature change,37,Central African Republic,7271,Temperature change,7001,January,2020,2020,?C,0.089,Fc,Calculated data
ET,Temperature change,39,Chad,7271,Temperature change,7001,January,2019,2019,?C,1.63,Fc,Calculated data
ET,Temperature change,39,Chad,7271,Temperature change,7001,January,2020,2020,?C,-0.125,Fc,Calculated data
ET,Temperature change,259,Channel Islands,7271,Temperature change,7001,January,2019,2019,?C,0.942,Fc,Calculated data
ET,Temperature change,259,Channel Islands,7271,Temperature change,7001,January,2020,2020,?C,2.762,Fc,Calculated data
ET,Temperature change,40,Chile,7271,Temperature change,7001,January,2019,2019,?C,-0.136,Fc,Calculated data
ET,Temperature change,40,Chile,7271,Temperature change,7001,January,2020,2020,?C,1.086,Fc,Calculated data
ET,Temperature change,351,China,7271,Temperature change,7001,January,2019,2019,?C,2.067,Fc,Calculated data
ET,Temperature change,351,China,7271,Temperature change,7001,January,2020,2020,?C,2.63,Fc,Calculated data
ET,Temperature change,96,"China, Hong Kong SAR",7271,Temperature change,7001,January,2019,2019,?C,3.059,Fc,Calculated data
ET,Temperature change,96,"China, Hong Kong SAR",7271,Temperature change,7001,January,2020,2020,?C,4.16,Fc,Calculated data
ET,Temperature change,128,"China, Macao SAR",7271,Temperature change,7001,January,2019,2019,?C,3.059,Fc,Calculated data
ET,Temperature change,128,"China, Macao SAR",7271,Temperature change,7001,January,2020,2020,?C,4.16,Fc,Calculated data
ET,Temperature change,41,"China, mainland",7271,Temperature change,7001,January,2019,2019,?C,2.066,Fc,Calculated data
ET,Temperature change,41,"China, mainland",7271,Temperature change,7001,January,2020,2020,?C,2.628,Fc,Calculated data
ET,Temperature change,214,"China, Taiwan Province of",7271,Temperature change,7001,January,2019,2019,?C,2.359,Fc,Calculated data
ET,Temperature change,214,"China, Taiwan Province of",7271,Temperature change,7001,January,2020,2020,?C,3.104,Fc,Calculated data
ET,Temperature change,42,Christmas Island,7271,Temperature change,7001,January,2019,2019,?C,,NV,Data not available
ET,Temperature change,42,Christmas Island,7271,Temperature change,7001,January,2020,2020,?C,1.599,Fc,Calculated data
ET,Temperature change,43,Cocos (Keeling) Islands,7271,Temperature change,7001,January,2019,2019,?C,1.297,Fc,Calculated data
ET,Temperature change,43,Cocos (Keeling) Islands,7271,Temperature change,7001,January,2020,2020,?C,1.547,Fc,Calculated data
ET,Temperature change,44,Colombia,7271,Temperature change,7001,January,2019,2019,?C,1.064,Fc,Calculated data
ET,Temperature change,44,Colombia,7271,Temperature change,7001,January,2020,2020,?C,1.371,Fc,Calculated data
ET,Temperature change,45,Comoros,7271,Temperature change,7001,January,2019,2019,?C,0.979,Fc,Calculated data
ET,Temperature change,45,Comoros,7271,Temperature change,7001,January,2020,2020,?C,1.029,Fc,Calculated data
ET,Temperature change,46,Congo,7271,Temperature change,7001,January,2019,2019,?C,1.13,Fc,Calculated data
ET,Temperature change,46,Congo,7271,Temperature change,7001,January,2020,2020,?C,1.515,Fc,Calculated data
ET,Temperature change,47,Cook Islands,7271,Temperature change,7001,January,2019,2019,?C,0.966,Fc,Calculated data
ET,Temperature change,47,Cook Islands,7271,Temperature change,7001,January,2020,2020,?C,0.576,Fc,Calculated data
ET,Temperature change,48,Costa Rica,7271,Temperature change,7001,January,2019,2019,?C,1.396,Fc,Calculated data
ET,Temperature change,48,Costa Rica,7271,Temperature change,7001,January,2020,2020,?C,2.109,Fc,Calculated data
ET,Temperature change,107,C?te d'Ivoire,7271,Temperature change,7001,January,2019,2019,?C,1.63,Fc,Calculated data
ET,Temperature change,107,C?te d'Ivoire,7271,Temperature change,7001,January,2020,2020,?C,1.123,Fc,Calculated data
ET,Temperature change,98,Croatia,7271,Temperature change,7001,January,2019,2019,?C,0.418,Fc,Calculated data
ET,Temperature change,98,Croatia,7271,Temperature change,7001,January,2020,2020,?C,2.554,Fc,Calculated data
ET,Temperature change,49,Cuba,7271,Temperature change,7001,January,2019,2019,?C,1.54,Fc,Calculated data
ET,Temperature change,49,Cuba,7271,Temperature change,7001,January,2020,2020,?C,1.799,Fc,Calculated data
ET,Temperature change,50,Cyprus,7271,Temperature change,7001,January,2019,2019,?C,0.535,Fc,Calculated data
ET,Temperature change,50,Cyprus,7271,Temperature change,7001,January,2020,2020,?C,0.258,Fc,Calculated data
ET,Temperature change,167,Czechia,7271,Temperature change,7001,January,2019,2019,?C,1.273,Fc,Calculated data
ET,Temperature change,167,Czechia,7271,Temperature change,7001,January,2020,2020,?C,3.702,Fc,Calculated data
ET,Temperature change,116,Democratic People's Republic of Korea,7271,Temperature change,7001,January,2019,2019,?C,3.843,Fc,Calculated data
ET,Temperature change,116,Democratic People's Republic of Korea,7271,Temperature change,7001,January,2020,2020,?C,4.989,Fc,Calculated data
ET,Temperature change,250,Democratic Republic of the Congo,7271,Temperature change,7001,January,2019,2019,?C,1.542,Fc,Calculated data
ET,Temperature change,250,Democratic Republic of the Congo,7271,Temperature change,7001,January,2020,2020,?C,1.421,Fc,Calculated data
ET,Temperature change,54,Denmark,7271,Temperature change,7001,January,2019,2019,?C,2.117,Fc,Calculated data
ET,Temperature change,54,Denmark,7271,Temperature change,7001,January,2020,2020,?C,5.78,Fc,Calculated data
ET,Temperature change,72,Djibouti,7271,Temperature change,7001,January,2019,2019,?C,-0.107,Fc,Calculated data
ET,Temperature change,72,Djibouti,7271,Temperature change,7001,January,2020,2020,?C,2.056,Fc,Calculated data
ET,Temperature change,55,Dominica,7271,Temperature change,7001,January,2019,2019,?C,0.076,Fc,Calculated data
ET,Temperature change,55,Dominica,7271,Temperature change,7001,January,2020,2020,?C,0.774,Fc,Calculated data
ET,Temperature change,56,Dominican Republic,7271,Temperature change,7001,January,2019,2019,?C,0.795,Fc,Calculated data
ET,Temperature change,56,Dominican Republic,7271,Temperature change,7001,January,2020,2020,?C,1.215,Fc,Calculated data
ET,Temperature change,58,Ecuador,7271,Temperature change,7001,January,2019,2019,?C,1.564,Fc,Calculated data
ET,Temperature change,58,Ecuador,7271,Temperature change,7001,January,2020,2020,?C,1.494,Fc,Calculated data
ET,Temperature change,59,Egypt,7271,Temperature change,7001,January,2019,2019,?C,-0.232,Fc,Calculated data
ET,Temperature change,59,Egypt,7271,Temperature change,7001,January,2020,2020,?C,-0.497,Fc,Calculated data
ET,Temperature change,60,El Salvador,7271,Temperature change,7001,January,2019,2019,?C,0.585,Fc,Calculated data
ET,Temperature change,60,El Salvador,7271,Temperature change,7001,January,2020,2020,?C,1.279,Fc,Calculated data
ET,Temperature change,61,Equatorial Guinea,7271,Temperature change,7001,January,2019,2019,?C,0.969,Fc,Calculated data
ET,Temperature change,61,Equatorial Guinea,7271,Temperature change,7001,January,2020,2020,?C,1.997,Fc,Calculated data
ET,Temperature change,178,Eritrea,7271,Temperature change,7001,January,2019,2019,?C,2.437,Fc,Calculated data
ET,Temperature change,178,Eritrea,7271,Temperature change,7001,January,2020,2020,?C,-0.912,Fc,Calculated data
ET,Temperature change,63,Estonia,7271,Temperature change,7001,January,2019,2019,?C,1.251,Fc,Calculated data
ET,Temperature change,63,Estonia,7271,Temperature change,7001,January,2020,2020,?C,8.72,Fc,Calculated data
ET,Temperature change,209,Eswatini,7271,Temperature change,7001,January,2019,2019,?C,0.591,Fc,Calculated data
ET,Temperature change,209,Eswatini,7271,Temperature change,7001,January,2020,2020,?C,0.766,Fc,Calculated data
ET,Temperature change,238,Ethiopia,7271,Temperature change,7001,January,2019,2019,?C,0.842,Fc,Calculated data
ET,Temperature change,238,Ethiopia,7271,Temperature change,7001,January,2020,2020,?C,1.108,Fc,Calculated data
ET,Temperature change,65,Falkland Islands (Malvinas),7271,Temperature change,7001,January,2019,2019,?C,,NV,Data not available
ET,Temperature change,65,Falkland Islands (Malvinas),7271,Temperature change,7001,January,2020,2020,?C,,NV,Data not available
ET,Temperature change,64,Faroe Islands,7271,Temperature change,7001,January,2019,2019,?C,0.697,Fc,Calculated data
ET,Temperature change,64,Faroe Islands,7271,Temperature change,7001,January,2020,2020,?C,2.399,Fc,Calculated data
ET,Temperature change,66,Fiji,7271,Temperature change,7001,January,2019,2019,?C,1.009,Fc,Calculated data
ET,Temperature change,66,Fiji,7271,Temperature change,7001,January,2020,2020,?C,0.726,Fc,Calculated data
ET,Temperature change,67,Finland,7271,Temperature change,7001,January,2019,2019,?C,-0.265,Fc,Calculated data
ET,Temperature change,67,Finland,7271,Temperature change,7001,January,2020,2020,?C,7.509,Fc,Calculated data
ET,Temperature change,68,France,7271,Temperature change,7001,January,2019,2019,?C,0.37,Fc,Calculated data
ET,Temperature change,68,France,7271,Temperature change,7001,January,2020,2020,?C,2.957,Fc,Calculated data
ET,Temperature change,69,French Guyana,7271,Temperature change,7001,January,2019,2019,?C,1.572,Fc,Calculated data
ET,Temperature change,69,French Guyana,7271,Temperature change,7001,January,2020,2020,?C,1.909,Fc,Calculated data
ET,Temperature change,70,French Polynesia,7271,Temperature change,7001,January,2019,2019,?C,0.821,Fc,Calculated data
ET,Temperature change,70,French Polynesia,7271,Temperature change,7001,January,2020,2020,?C,0.658,Fc,Calculated data
ET,Temperature change,71,French Southern Territories,7271,Temperature change,7001,January,2019,2019,?C,1.718,Fc,Calculated data
ET,Temperature change,71,French Southern Territories,7271,Temperature change,7001,January,2020,2020,?C,0.637,Fc,Calculated data
ET,Temperature change,74,Gabon,7271,Temperature change,7001,January,2019,2019,?C,0.756,Fc,Calculated data
ET,Temperature change,74,Gabon,7271,Temperature change,7001,January,2020,2020,?C,1.998,Fc,Calculated data
ET,Temperature change,75,Gambia,7271,Temperature change,7001,January,2019,2019,?C,1.592,Fc,Calculated data
ET,Temperature change,75,Gambia,7271,Temperature change,7001,January,2020,2020,?C,1.6,Fc,Calculated data
ET,Temperature change,73,Georgia,7271,Temperature change,7001,January,2019,2019,?C,2.795,Fc,Calculated data
ET,Temperature change,73,Georgia,7271,Temperature change,7001,January,2020,2020,?C,1.972,Fc,Calculated data
ET,Temperature change,79,Germany,7271,Temperature change,7001,January,2019,2019,?C,1.348,Fc,Calculated data
ET,Temperature change,79,Germany,7271,Temperature change,7001,January,2020,2020,?C,4.364,Fc,Calculated data
ET,Temperature change,81,Ghana,7271,Temperature change,7001,January,2019,2019,?C,1.792,Fc,Calculated data
ET,Temperature change,81,Ghana,7271,Temperature change,7001,January,2020,2020,?C,1.363,Fc,Calculated data
ET,Temperature change,82,Gibraltar,7271,Temperature change,7001,January,2019,2019,?C,0.406,Fc,Calculated data
ET,Temperature change,82,Gibraltar,7271,Temperature change,7001,January,2020,2020,?C,0.774,Fc,Calculated data
ET,Temperature change,84,Greece,7271,Temperature change,7001,January,2019,2019,?C,-0.12,Fc,Calculated data
ET,Temperature change,84,Greece,7271,Temperature change,7001,January,2020,2020,?C,0.452,Fc,Calculated data
ET,Temperature change,85,Greenland,7271,Temperature change,7001,January,2019,2019,?C,0.436,Fc,Calculated data
ET,Temperature change,85,Greenland,7271,Temperature change,7001,January,2020,2020,?C,-0.197,Fc,Calculated data
ET,Temperature change,86,Grenada,7271,Temperature change,7001,January,2019,2019,?C,0.019,Fc,Calculated data
ET,Temperature change,86,Grenada,7271,Temperature change,7001,January,2020,2020,?C,0.536,Fc,Calculated data
ET,Temperature change,87,Guadeloupe,7271,Temperature change,7001,January,2019,2019,?C,0.333,Fc,Calculated data
ET,Temperature change,87,Guadeloupe,7271,Temperature change,7001,January,2020,2020,?C,1.018,Fc,Calculated data
ET,Temperature change,89,Guatemala,7271,Temperature change,7001,January,2019,2019,?C,0.927,Fc,Calculated data
ET,Temperature change,89,Guatemala,7271,Temperature change,7001,January,2020,2020,?C,1.929,Fc,Calculated data
ET,Temperature change,90,Guinea,7271,Temperature change,7001,January,2019,2019,?C,1.379,Fc,Calculated data
ET,Temperature change,90,Guinea,7271,Temperature change,7001,January,2020,2020,?C,1.047,Fc,Calculated data
ET,Temperature change,175,Guinea-Bissau,7271,Temperature change,7001,January,2019,2019,?C,1.907,Fc,Calculated data
ET,Temperature change,175,Guinea-Bissau,7271,Temperature change,7001,January,2020,2020,?C,1.285,Fc,Calculated data
ET,Temperature change,91,Guyana,7271,Temperature change,7001,January,2019,2019,?C,1.546,Fc,Calculated data
ET,Temperature change,91,Guyana,7271,Temperature change,7001,January,2020,2020,?C,1.188,Fc,Calculated data
ET,Temperature change,93,Haiti,7271,Temperature change,7001,January,2019,2019,?C,1.488,Fc,Calculated data
ET,Temperature change,93,Haiti,7271,Temperature change,7001,January,2020,2020,?C,1.437,Fc,Calculated data
ET,Temperature change,94,Holy See,7271,Temperature change,7001,January,2019,2019,?C,-0.967,Fc,Calculated data
ET,Temperature change,94,Holy See,7271,Temperature change,7001,January,2020,2020,?C,1.524,Fc,Calculated data
ET,Temperature change,95,Honduras,7271,Temperature change,7001,January,2019,2019,?C,0.813,Fc,Calculated data
ET,Temperature change,95,Honduras,7271,Temperature change,7001,January,2020,2020,?C,1.487,Fc,Calculated data
ET,Temperature change,97,Hungary,7271,Temperature change,7001,January,2019,2019,?C,1.172,Fc,Calculated data
ET,Temperature change,97,Hungary,7271,Temperature change,7001,January,2020,2020,?C,2.242,Fc,Calculated data
ET,Temperature change,99,Iceland,7271,Temperature change,7001,January,2019,2019,?C,1.402,Fc,Calculated data
ET,Temperature change,99,Iceland,7271,Temperature change,7001,January,2020,2020,?C,1.399,Fc,Calculated data
ET,Temperature change,100,India,7271,Temperature change,7001,January,2019,2019,?C,0.216,Fc,Calculated data
ET,Temperature change,100,India,7271,Temperature change,7001,January,2020,2020,?C,0.258,Fc,Calculated data
ET,Temperature change,101,Indonesia,7271,Temperature change,7001,January,2019,2019,?C,1.139,Fc,Calculated data
ET,Temperature change,101,Indonesia,7271,Temperature change,7001,January,2020,2020,?C,1.478,Fc,Calculated data
ET,Temperature change,102,Iran (Islamic Republic of),7271,Temperature change,7001,January,2019,2019,?C,3.403,Fc,Calculated data
ET,Temperature change,102,Iran (Islamic Republic of),7271,Temperature change,7001,January,2020,2020,?C,1.034,Fc,Calculated data
ET,Temperature change,103,Iraq,7271,Temperature change,7001,January,2019,2019,?C,1.796,Fc,Calculated data
ET,Temperature change,103,Iraq,7271,Temperature change,7001,January,2020,2020,?C,1.124,Fc,Calculated data
ET,Temperature change,104,Ireland,7271,Temperature change,7001,January,2019,2019,?C,1.711,Fc,Calculated data
ET,Temperature change,104,Ireland,7271,Temperature change,7001,January,2020,2020,?C,2.094,Fc,Calculated data
ET,Temperature change,264,Isle of Man,7271,Temperature change,7001,January,2019,2019,?C,1.312,Fc,Calculated data
ET,Temperature change,264,Isle of Man,7271,Temperature change,7001,January,2020,2020,?C,2.499,Fc,Calculated data
ET,Temperature change,105,Israel,7271,Temperature change,7001,January,2019,2019,?C,-0.116,Fc,Calculated data
ET,Temperature change,105,Israel,7271,Temperature change,7001,January,2020,2020,?C,-0.223,Fc,Calculated data
ET,Temperature change,106,Italy,7271,Temperature change,7001,January,2019,2019,?C,-0.472,Fc,Calculated data
ET,Temperature change,106,Italy,7271,Temperature change,7001,January,2020,2020,?C,2.189,Fc,Calculated data
ET,Temperature change,109,Jamaica,7271,Temperature change,7001,January,2019,2019,?C,1.516,Fc,Calculated data
ET,Temperature change,109,Jamaica,7271,Temperature change,7001,January,2020,2020,?C,1.884,Fc,Calculated data
ET,Temperature change,110,Japan,7271,Temperature change,7001,January,2019,2019,?C,1.335,Fc,Calculated data
ET,Temperature change,110,Japan,7271,Temperature change,7001,January,2020,2020,?C,2.842,Fc,Calculated data
ET,Temperature change,112,Jordan,7271,Temperature change,7001,January,2019,2019,?C,0.522,Fc,Calculated data
ET,Temperature change,112,Jordan,7271,Temperature change,7001,January,2020,2020,?C,-0.104,Fc,Calculated data
ET,Temperature change,108,Kazakhstan,7271,Temperature change,7001,January,2019,2019,?C,3.605,Fc,Calculated data
ET,Temperature change,108,Kazakhstan,7271,Temperature change,7001,January,2020,2020,?C,6.237,Fc,Calculated data
ET,Temperature change,114,Kenya,7271,Temperature change,7001,January,2019,2019,?C,1.617,Fc,Calculated data
ET,Temperature change,114,Kenya,7271,Temperature change,7001,January,2020,2020,?C,1.504,Fc,Calculated data
ET,Temperature change,83,Kiribati,7271,Temperature change,7001,January,2019,2019,?C,1.157,Fc,Calculated data
ET,Temperature change,83,Kiribati,7271,Temperature change,7001,January,2020,2020,?C,1.557,Fc,Calculated data
ET,Temperature change,118,Kuwait,7271,Temperature change,7001,January,2019,2019,?C,2.161,Fc,Calculated data
ET,Temperature change,118,Kuwait,7271,Temperature change,7001,January,2020,2020,?C,1.391,Fc,Calculated data
ET,Temperature change,113,Kyrgyzstan,7271,Temperature change,7001,January,2019,2019,?C,3.122,Fc,Calculated data
ET,Temperature change,113,Kyrgyzstan,7271,Temperature change,7001,January,2020,2020,?C,2.191,Fc,Calculated data
ET,Temperature change,120,Lao People's Democratic Republic,7271,Temperature change,7001,January,2019,2019,?C,2.209,Fc,Calculated data
ET,Temperature change,120,Lao People's Democratic Republic,7271,Temperature change,7001,January,2020,2020,?C,2.979,Fc,Calculated data
ET,Temperature change,119,Latvia,7271,Temperature change,7001,January,2019,2019,?C,1.807,Fc,Calculated data
ET,Temperature change,119,Latvia,7271,Temperature change,7001,January,2020,2020,?C,8.494,Fc,Calculated data
ET,Temperature change,121,Lebanon,7271,Temperature change,7001,January,2019,2019,?C,0.422,Fc,Calculated data
ET,Temperature change,121,Lebanon,7271,Temperature change,7001,January,2020,2020,?C,0.289,Fc,Calculated data
ET,Temperature change,122,Lesotho,7271,Temperature change,7001,January,2019,2019,?C,0.65,Fc,Calculated data
ET,Temperature change,122,Lesotho,7271,Temperature change,7001,January,2020,2020,?C,0.345,Fc,Calculated data
ET,Temperature change,123,Liberia,7271,Temperature change,7001,January,2019,2019,?C,1.444,Fc,Calculated data
ET,Temperature change,123,Liberia,7271,Temperature change,7001,January,2020,2020,?C,1.266,Fc,Calculated data
ET,Temperature change,124,Libya,7271,Temperature change,7001,January,2019,2019,?C,-0.742,Fc,Calculated data
ET,Temperature change,124,Libya,7271,Temperature change,7001,January,2020,2020,?C,-0.335,Fc,Calculated data
ET,Temperature change,125,Liechtenstein,7271,Temperature change,7001,January,2019,2019,?C,0.159,Fc,Calculated data
ET,Temperature change,125,Liechtenstein,7271,Temperature change,7001,January,2020,2020,?C,3.867,Fc,Calculated data
ET,Temperature change,126,Lithuania,7271,Temperature change,7001,January,2019,2019,?C,1.844,Fc,Calculated data
ET,Temperature change,126,Lithuania,7271,Temperature change,7001,January,2020,2020,?C,8.158,Fc,Calculated data
ET,Temperature change,256,Luxembourg,7271,Temperature change,7001,January,2019,2019,?C,0.73,Fc,Calculated data
ET,Temperature change,256,Luxembourg,7271,Temperature change,7001,January,2020,2020,?C,3.745,Fc,Calculated data
ET,Temperature change,129,Madagascar,7271,Temperature change,7001,January,2019,2019,?C,0.866,Fc,Calculated data
ET,Temperature change,129,Madagascar,7271,Temperature change,7001,January,2020,2020,?C,1.378,Fc,Calculated data
ET,Temperature change,130,Malawi,7271,Temperature change,7001,January,2019,2019,?C,1.169,Fc,Calculated data
ET,Temperature change,130,Malawi,7271,Temperature change,7001,January,2020,2020,?C,1.361,Fc,Calculated data
ET,Temperature change,131,Malaysia,7271,Temperature change,7001,January,2019,2019,?C,1.737,Fc,Calculated data
